DATE,OPEN,HIGH,LOW,CLOSE,VOLUME BTC,VOLUME USDT
10/26/2018,6528.09,6600,6515.01,6538.63,9179.12,60059940.66
10/25/2018,6565.5,6575.09,6502.8,6528.09,9910.04,64861696.49
10/24/2018,6553.51,6630,6547.53,6565.5,11591.53,76420164.38
10/23/2018,6581.2,6595,6515.45,6553.51,13462.11,88380390.73
10/22/2018,6590.11,6639,6535.27,6581.2,15770.56,103897094.4
10/21/2018,6588.4,6663.9,6580,6590.11,6239.58,41319056.01
10/20/2018,6528.88,6617.65,6505.55,6588.4,18944.66,124380958
10/19/2018,6618.96,6648.14,6523,6528.88,20150.2,132584941.5
10/18/2018,6740.89,6796,6567,6618.96,18985.84,127224734.3
10/17/2018,6759.27,6811.12,6676.01,6740.89,25902.71,174661338.2
10/16/2018,6755.73,6755.73,6708.49,6708.49,0,0
10/15/2018,6339.34,7600,6300,6755.73,71305.79,491227249.1
10/14/2018,6332.93,6416,6308,6339.34,15032.82,95740365.42
10/13/2018,6298.01,6345,6285.07,6332.93,18677.34,118068683.6
10/12/2018,6252.68,6360,6209,6298.01,28152.99,177661984.1
10/11/2018,6631,6633.92,6205,6252.68,45289.8,286479848.1
10/10/2018,6656.61,6659.95,6530,6631,14686.17,96963742.75
10/9/2018,6673.01,6685.38,6607,6656.61,14905.45,99126992.26
10/8/2018,6615.26,6715.6,6587,6673.01,22269.64,148015014.3
10/7/2018,6594.27,6640,6525,6615.26,16867.06,110939270.1
10/6/2018,6635.65,6651,6566.77,6594.27,10604.16,70034483.02
10/5/2018,6593.79,6697,6543.08,6635.65,15185.82,100230383.5
10/4/2018,6510,6643.46,6505.09,6593.79,19316.97,127356525.1
10/3/2018,6525.79,6549,6430,6510,27403.24,177823758.1
10/2/2018,6611.61,6640,6494,6525.79,27259.9,179259561.7
10/1/2018,6626.57,6667.09,6510,6611.61,19444.16,128365960.4
9/30/2018,6596.38,6662,6533,6626.57,27030.58,178592346.3
9/29/2018,6634.58,6636,6464.57,6596.38,29116.99,190971287.2
9/28/2018,6689.13,6814.8,6540.88,6634.58,40167.47,268266953.7
9/27/2018,6465.12,6750,6434,6689.13,31366.55,205546000.2
9/26/2018,6447.54,6557.99,6380,6465.12,32046.99,207541728.1
9/25/2018,6581.39,6584.01,6325.02,6447.54,38074.01,244602341.6
9/24/2018,6708,6730,6557,6581.39,33414.49,221830056.3
9/23/2018,6723.05,6788.23,6661.75,6708,29311.77,196932806.4
9/22/2018,6759.02,6839.03,6627,6723.05,27339.77,183725830.8
9/21/2018,6492,6784.86,6491,6759.02,47817.08,319306130.7
9/20/2018,6391.89,6540,6325,6492,23631.22,151828905.3
9/19/2018,6336.45,6517.7,6123,6391.89,34541.26,218908245.4
9/18/2018,6248.69,6390,6224.98,6336.45,31411.52,198091202.2
9/17/2018,6505,6533.84,6201,6248.69,33303.91,211888248.8
9/16/2018,6514.96,6524.62,6375.13,6505,25675.79,166422338.1
9/15/2018,6476.63,6565.45,6466.13,6514.96,24486.34,159621706
9/14/2018,6487.38,6584.99,6385.62,6476.63,34777.26,225935166.3
9/13/2018,6338.62,6535,6337.4,6487.38,38129.96,245913048.4
9/12/2018,6294.91,6360,6192.37,6338.62,30266.86,190076690.5
9/11/2018,6312,6404,6170,6294.91,31017.23,195248652.4
9/10/2018,6250.81,6373.98,6221,6312,31429.19,197824245.9
9/9/2018,6185.05,6441,6141.53,6250.81,34394.57,216780551.4
9/8/2018,6395.54,6478,6111,6185.05,34684.08,219588081.1
9/7/2018,6516.01,6544,6320,6395.54,37193,239707773.5
9/6/2018,6700,6725,6286.05,6516.01,54232.17,349174551.1
9/5/2018,7359.06,7397.3,6682,6700,57250.23,404281550.1
9/4/2018,7263.02,7409.9,7227.17,7359.06,33876.24,248511072.7
9/3/2018,7302.01,7338.28,7191.63,7263.02,30914.26,224625789.5
9/2/2018,7200.01,7345.45,7127,7302.01,37719.06,273323233
9/1/2018,7011.21,7275,7008.74,7200.01,37858.84,269659435.1
8/31/2018,6984.84,7089,6888,7011.21,38515.35,269101804.1
8/30/2018,7031.22,7063.63,6784.81,6984.84,41565.87,287626873
8/29/2018,7076.11,7133.81,6912.34,7031.22,40220.91,283327238.4
8/28/2018,6908.64,7135,6860,7076.11,44829.18,313540617.6
8/27/2018,6700,6940.51,6646.5,6908.64,34508.75,232201020.4
8/26/2018,6733.64,6775.27,6568,6700,18564.21,123840620.2
8/25/2018,6681.64,6789,6650.61,6733.64,18091.61,121496443.5
8/24/2018,6525.01,6725,6440.5,6681.64,35913.86,235813943.4
8/23/2018,6360.89,6576.99,6342.28,6525.01,38250.32,246188292
8/22/2018,6480,6882.54,6251.2,6360.89,67162.63,442016859
8/21/2018,6254.84,6500,6235.08,6480,39854.49,254469529.7
8/20/2018,6477.53,6530,6220,6254.84,46545.59,299203081.8
8/19/2018,6387.96,6541,6300,6477.53,43738.26,279949502.3
8/18/2018,6584.49,6620,6288,6387.96,50598.18,325752517.9
8/17/2018,6311.75,6585,6285.4,6584.49,54348.71,351803544.7
8/16/2018,6267.16,6480,6205.6,6311.75,45018.33,285558549.3
8/15/2018,6188.08,6609,6172.11,6267.16,61848.78,394600658
8/14/2018,6246.35,6250.33,5880,6188.08,44408.54,268258399.6
8/13/2018,6308.33,6540.1,6145.04,6246.35,50100.77,317507847.1
8/12/2018,6077.3,6077.3,6077.3,6077.3,0,0
8/11/2018,6144.01,6177,5982,6077.3,22413.41,136726013.1
8/10/2018,6529.79,6575.88,6026.39,6144.01,52332.83,332567279.8
8/9/2018,6285,6622.81,6178.6,6529.79,47729.05,305798216
8/8/2018,6720.06,6721.54,6123,6285,53301.26,342494963.8
8/7/2018,6934.82,7150.46,6670,6720.06,41214.02,287269304.5
8/6/2018,7024.19,7160,6821,6934.82,30793.32,215340256.4
8/5/2018,7009.84,7089.87,6882.29,7024.19,31146.24,217779907.4
8/4/2018,7418.78,7494.81,6926,7009.84,32996.7,238712517.3
8/3/2018,7525.71,7540,7282.44,7418.78,41280.01,305470420.6
8/2/2018,7611.64,7702.71,7455.72,7525.71,33407.69,253238243.5
8/1/2018,7730.93,7750,7430,7611.64,39394.76,298179092.9
7/31/2018,8173.92,8180,7633,7730.93,43682.43,343739655.8
7/30/2018,8211,8273,7866,8173.92,36011.52,291881176
7/29/2018,8225.04,8294.51,8115,8211,24675.06,202538475.5
7/28/2018,8188.57,8246.54,8067,8225.04,25222.34,206256401.9
7/27/2018,7920,8285,7805,8188.57,40369.01,324341394.4
7/26/2018,8175.64,8315.69,7850.06,7920,39535.19,322274225.2
7/25/2018,8397.24,8491.77,8050,8175.64,44943.17,370776686.8
7/24/2018,7721.01,8486,7696,8397.24,54851.84,444400985
7/23/2018,7394.79,7829,7375,7721.01,38041.48,292426701.7
7/22/2018,7398.78,7582.4,7335.5,7394.79,28538.74,212719876.6
7/21/2018,7337.53,7458.47,7211,7398.78,27274.39,200313325.7
7/20/2018,7466.21,7700,7273,7337.53,40701.57,302301323.5
7/19/2018,7381.9,7573.99,7270,7466.21,38217.46,282897223.8
7/18/2018,7317.44,7588.08,7225.38,7381.9,53379.35,395394487.1
7/17/2018,6723.35,7452,6652.04,7317.44,44749.42,312457623.2
7/16/2018,6353.01,6747.3,6330.4,6723.35,33547.54,219676880.6
7/15/2018,6251.99,6395,6225.4,6353.01,22302.78,141120821.5
7/14/2018,6214.57,6335,6178,6251.99,16980.84,105948150.4
7/13/2018,6250.57,6350,6110,6214.57,24233.9,151101104.4
7/12/2018,6378.07,6380.28,6070,6250.57,28442.93,176557543.4
7/11/2018,6296.91,6406,6278.99,6378.07,27261.07,173124986.8
7/10/2018,6662.12,6681,6263,6296.91,35210.77,227537376.9
7/9/2018,6712.1,6802.06,6612.24,6662.12,24981.94,167524258.7
7/8/2018,6756.98,6780,6668,6712.1,23296.28,157024170.3
7/7/2018,6609.78,6818.16,6508.88,6756.98,21978.78,144751086.7
7/6/2018,6529.2,6648.54,6425,6609.78,27529.34,180019371.3
7/5/2018,6586.98,6700,6453.78,6529.2,32443.55,213525835.3
7/4/2018,6513.86,6784.92,6441.11,6586.98,21412.98,141968661.2
7/3/2018,6615.29,6679.35,6463.01,6513.86,35198.66,231799827
7/2/2018,6356.81,6685,6271.62,6615.29,33026.95,214590129
7/1/2018,6390.07,6441.06,6251,6356.81,25719.81,163403693.2
6/30/2018,6197.92,6528.99,6186.03,6390.07,35066.33,223364691.1
6/29/2018,5853.98,6300,5780,6197.92,30874.03,183154912.3
6/28/2018,6133.73,6173.01,5827,5853.98,28898.22,175103059.1
6/27/2018,6070.78,6190.43,5971,6133.73,18233.86,111061529.9
6/26/2018,6252,6272.54,6035,6070.78,17954.65,110930092.4
6/25/2018,6136.97,6350,6080,6252,36191.98,224423378.2
6/24/2018,6149.98,6259.8,5750,6136.97,41296.18,247156010.1
6/23/2018,6045,6260,6008.48,6149.98,25275.69,154505308.6
6/22/2018,6718.84,6733.97,5918.94,6045,46190.22,290191631.3
6/21/2018,6761.51,6795,6672.57,6718.84,24610.33,165641459.1
6/20/2018,6741.21,6817.23,6551.81,6761.51,24856.17,165916535.4
6/19/2018,6712.46,6841.74,6653,6741.21,23242.74,156224462.4
6/18/2018,6449.61,6794.37,6380,6712.46,29675.51,194424208.2
6/17/2018,6483.98,6589.03,6422,6449.61,19251.31,125243769.6
6/16/2018,6388.9,6560,6320.86,6483.98,21157.78,136535324.2
6/15/2018,6635.98,6666.66,6362.31,6388.9,28128.53,183865198.4
6/14/2018,6292.78,6720,6260,6635.98,40272.35,261601191.9
6/13/2018,6530,6627.6,6118.68,6292.78,41763.12,267223119.5
6/12/2018,6872,6890.51,6435,6530,33509.64,224464654.9
6/11/2018,6764.99,6922,6610,6872,32459.41,218937664.1
6/10/2018,7491.73,7491.73,6622.81,6764.99,46345.2,325423841.7
6/9/2018,7603.44,7683.98,7450,7491.73,18385.98,139964329.1
6/8/2018,7691.08,7703.5,7531,7603.44,21943.48,167167412.8
6/7/2018,7658.84,7765,7620,7691.08,24050.89,185165404.4
6/6/2018,7625,7699,7467.05,7658.84,25975.09,197476363.7
6/5/2018,7487,7679.49,7358,7625,28444.14,212968435
6/4/2018,7714.26,7760.52,7446.5,7487,30103.36,227846884.1
6/3/2018,7640.03,7786.69,7600,7714.26,25954.74,199793084.6
6/2/2018,7521.01,7697.33,7437,7640.03,25360.71,193032336.6
6/1/2018,7485.01,7608.55,7355.54,7521.01,26661.71,199516324.3
